chi,elevation,flow distance,drainage area
8.8634,1076.1,66072,1.54E+08
8.8488,1076.1,66002,1.54E+08
8.8341,1076.1,65931,1.54E+08
8.8195,1076.1,65860,1.54E+08
8.8049,1076.1,65790,1.54E+08
8.7903,1076.1,65719,1.54E+08
8.7757,1076,65648,1.65E+08
8.7615,1076,65578,1.65E+08
8.7473,1076,65507,1.65E+08
8.7332,1076,65436,1.65E+08
8.7232,1076,65386,1.65E+08
8.7131,1076,65336,1.65E+08
8.7031,1076,65286,1.67E+08
8.689,1076,65215,1.67E+08
8.6749,1076,65145,1.67E+08
8.6608,1076,65074,1.67E+08
8.6508,1076,65024,1.67E+08
8.6367,1076,64953,1.67E+08
8.6226,1076,64883,1.67E+08
8.6126,1073,64833,1.67E+08
8.5985,1070,64762,1.67E+08
8.5885,1065.4,64712,1.67E+08
8.5785,1065.4,64662,1.67E+08
8.5644,1065.4,64591,1.67E+08
8.5503,1065.3,64520,1.67E+08
8.5362,1065.3,64450,1.67E+08
8.5221,1065.3,64379,1.67E+08
8.508,1065.3,64308,1.67E+08
8.4939,1065.3,64238,1.74E+08
8.4801,1065.3,64167,1.74E+08
8.4663,1065.3,64096,1.75E+08
8.4525,1065.3,64025,1.75E+08
8.4386,1065.3,63955,1.75E+08
8.4248,1065.3,63884,1.75E+08
8.411,1065.3,63813,1.76E+08
8.3973,1065.3,63743,1.76E+08
8.3835,1065.3,63672,1.77E+08
8.3697,1065.3,63601,1.77E+08
8.356,1065.3,63530,2.26E+08
8.3437,1065.3,63460,2.26E+08
8.3314,1065.3,63389,2.26E+08
8.3191,1065.3,63318,2.26E+08
8.3068,1065.3,63248,2.26E+08
8.2945,1065.3,63177,2.26E+08
8.2822,1065.3,63106,2.27E+08
8.2699,1065.3,63035,2.27E+08
8.2576,1065.3,62965,2.27E+08
8.2453,1065.3,62894,2.27E+08
8.233,1065.3,62823,2.27E+08
8.2207,1065.3,62753,2.27E+08
8.2084,1065.3,62682,2.27E+08
8.1962,1065.3,62611,2.27E+08
8.1839,1065.2,62541,2.27E+08
8.1716,1065.2,62470,2.27E+08
8.1593,1065.2,62399,2.27E+08
8.1471,1065.2,62328,2.28E+08
8.1348,1065.2,62258,2.28E+08
8.1225,1065.2,62187,2.28E+08
8.1103,1065.2,62116,2.29E+08
8.0981,1065.2,62046,2.30E+08
8.0858,1065.2,61975,2.30E+08
8.0736,1065.2,61904,2.30E+08
8.0614,1065.2,61833,2.30E+08
8.0492,1065.2,61763,2.30E+08
8.037,1065.2,61692,2.30E+08
8.0248,1065.2,61621,2.30E+08
8.0126,1065.2,61551,2.30E+08
8.0003,1065.2,61480,2.30E+08
7.9881,1065.2,61409,2.30E+08
7.9759,1065.2,61338,2.30E+08
7.9637,1065.2,61268,2.30E+08
7.9515,1065.2,61197,2.30E+08
7.9393,1065.2,61126,2.32E+08
7.9271,1065.2,61056,2.32E+08
7.915,1065.2,60985,2.32E+08
7.9028,1065.2,60914,2.32E+08
7.8907,1065.2,60843,2.33E+08
7.8785,1065.2,60773,2.33E+08
7.8664,1065.2,60702,2.33E+08
7.8542,1065.2,60631,2.33E+08
7.8421,1065.1,60561,2.33E+08
7.83,1065.1,60490,2.33E+08
7.8178,1065.1,60419,2.33E+08
7.8057,1065.1,60348,2.33E+08
7.7935,1065.1,60278,2.33E+08
7.7814,1065.1,60207,2.33E+08
7.7693,1065.1,60136,2.33E+08
7.7571,1065.1,60066,2.33E+08
